  Base de dados BPS,,,,,,,,,,,,,,,,,,,,,
Dados do Item,,,,Dados da Compra,,,,,Dados do Fabricante Fornecedor,,,,Dados da Instituição,,,,Valores,,,,
Código BR,Descrição CATMAT, Unidade de Fornecimento ,Genérico,Registro Anvisa, Data Compra ,Modalidade da Compra, Data Inserção,Tipo Compra,Fabricante,CNPJ Fabricante,Fornecedor,CNPJ Fornecedor,Nome Instituição,CNPJ Instituição,Município Instituição,UF,Qtd Itens Comprados,Preço Unitário,CMED - Preço Regulado,Competência CMED, Média Ponderada 
BR0267565,"CARVEDILOL, DOSAGEM:6,25 MG",COMPRIMIDO - GENÉRICO,Sim,1058308410073,11/10/2021,Pregão,22/11/2021,A,GERMED FARMACÊUTICA LTDA,45.992.062/0001-65,MEDICAH COMERCIO DE MEDICAMENTOS EIRELI ,11.195.977/0001-28,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"25000,0000","0,0010","2,3623",02/2022,"0,0942"
BR0267566,"CARVEDILOL, DOSAGEM:3,125 MG",COMPRIMIDO - GENÉRICO,Sim,1058308410022,11/10/2021,Pregão,22/11/2021,A,GERMED FARMACÊUTICA LTDA,45.992.062/0001-65,MEDICAH COMERCIO DE MEDICAMENTOS EIRELI ,11.195.977/0001-28,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"16000,0000","0,0010","2,1033",02/2022,"0,0884"
BR0267564,"CARVEDILOL, DOSAGEM:12,5 MG",COMPRIMIDO - GENÉRICO,Sim,1058308410121,11/10/2021,Pregão,22/11/2021,A,GERMED FARMACÊUTICA LTDA,45.992.062/0001-65,MEDICAH COMERCIO DE MEDICAMENTOS EIRELI ,11.195.977/0001-28,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"25000,0000","0,0015","2,6307",02/2022,"0,1095"
BR0267566,"CARVEDILOL, DOSAGEM:3,125 MG",COMPRIMIDO - GENÉRICO,Sim,1267502420021,28/04/2021,Pregão,05/07/2021,A,NOVA QUIMICA FARMACEUTICA LTDA ,72.593.791/0001-11,DISTRIMED COMERCIO E REPRESENTACOES LTDA,08.516.958/0001-41,FUNDO MUNICIPAL DE SAUDE DE PALMEIRAIS - PI,11.348.184/0001-00,PALMEIRAIS,PI,"1480,0000","0,0018","2,1290",02/2022,"0,0884"
BR0267564,"CARVEDILOL, DOSAGEM:12,5 MG",COMPRIMIDO,Não, Não Informado,28/04/2021,Pregão,05/07/2021,A,EMS S/A,57.507.378/0006-08,DISTRIMED COMERCIO E REPRESENTACOES LTDA,08.516.958/0001-41,FUNDO MUNICIPAL DE SAUDE DE PALMEIRAIS - PI,11.348.184/0001-00,PALMEIRAIS,PI,"1730,0000","0,0023","0,0000",N/A,"0,1095"
BR0272045,"CLOPIDOGREL, DOSAGEM:75 MG",COMPRIMIDO,Não, Não Informado,28/04/2021,Pregão,05/07/2021,A,BIOLAB SANUS FARMACEUTICA LTDA ,49.475.833/0012-50,DISTRIMED COMERCIO E REPRESENTACOES LTDA,08.516.958/0001-41,FUNDO MUNICIPAL DE SAUDE DE PALMEIRAIS - PI,11.348.184/0001-00,PALMEIRAIS,PI,"580,0000","0,0115","0,0000",N/A,"0,2890"
BR0267564,"CARVEDILOL, DOSAGEM:12,5 MG",COMPRIMIDO,Não,1003300660081,09/04/2021,Pregão,23/06/2021,A,LIBBS FARMACEUTICA LTDA,61.230.314/0001-75,ALLFAMED COMERCIO ATACADISTA DE MEDICAMENTOS LTDA,31.187.918/0001-15,FUNDO MUNICIPAL DE SAUDE,11.490.408/0001-05,ALHANDRA,PB,"10000,0000","0,0600","0,9387",02/2022,"0,1095"
BR0267566,"CARVEDILOL, DOSAGEM:3,125 MG",COMPRIMIDO,Não,1003300660103,11/11/2021,Inexigibilidade de Licitação,10/12/2021,A,LIBBS FARMACEUTICA LTDA,61.230.314/0001-75,RAVIMED DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,31.434.320/0001-83,FUNDO MUNICIPAL DE SAUDE DE COLATINA,14.578.805/0001-21,COLATINA,ES,"60000,0000","0,0657","0,9273",02/2022,"0,0884"
BR0267566,"CARVEDILOL, DOSAGEM:3,125 MG",COMPRIMIDO,Não,1003300660103,18/02/2021,Inexigibilidade de Licitação,06/12/2021,A,LIBBS FARMACEUTICA LTDA,61.230.314/0001-75,RAVIMED DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,31.434.320/0001-83,FUNDO MUNICIPAL DE SAUDE DE COLATINA,14.578.805/0001-21,COLATINA,ES,"50000,0000","0,0657","0,9273",02/2022,"0,0884"
BR0267566,"CARVEDILOL, DOSAGEM:3,125 MG",COMPRIMIDO - GENÉRICO,Sim,1023510730048,26/11/2020,Pregão,26/11/2020,A,EMS S/A,57.507.378/0003-65,RAVIMED DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,31.434.320/0001-83,SECRETARIA DE ESTADO DA SAUDE,27.080.605/0001-96,VITORIA,ES,"3766620,0000","0,0657","2,1033",02/2022,"0,0884"
