  Base de dados BPS,,,,,,,,,,,,,,,,,,,,,
Dados do Item,,,,Dados da Compra,,,,,Dados do Fabricante Fornecedor,,,,Dados da Instituição,,,,Valores,,,,
Código BR,Descrição CATMAT, Unidade de Fornecimento ,Genérico,Registro Anvisa, Data Compra ,Modalidade da Compra, Data Inserção,Tipo Compra,Fabricante,CNPJ Fabricante,Fornecedor,CNPJ Fornecedor,Nome Instituição,CNPJ Instituição,Município Instituição,UF,Qtd Itens Comprados,Preço Unitário,CMED - Preço Regulado,Competência CMED, Média Ponderada 
BR0267689,"METILDOPA, DOSAGEM:250 MG",COMPRIMIDO,Não, Não Informado,11/10/2021,Pregão,22/11/2021,A,EMS S/A,57.507.378/0006-08,MEDVIDA DISTRIBUIDORA DE MEDICAMENTOS HOSPITALAR EIRELI - ME,06.132.785/0001-32,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"16000,0000","0,0044","0,0000",N/A,"0,3841"
BR0276656,"METOPROLOL, PRINCÍPIO ATIVO:SAL SUCCINATO, DOSAGEM:25 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA",COMPRIMIDO,Não,1161800770068,09/11/2020,Pregão,28/01/2021,A,ASTRAZENECA DO BRASIL LTDA.,60.318.797/0001-00,BIOHOSP PRODUTOS HOSPITALARES LTDA - EPP ,18.269.125/0001-87,FUNDO MUNICIPAL DE SAUDE,14.744.834/0001-16,VENDA NOVA DO IMIGRANTE,ES,"50000,0000","0,0474","0,7857",02/2022,"0,3030"
BR0394650,"METOPROLOL, COMPOSIÇÃO:SAL TARTARATO, CONCENTRAÇÃO:100 MG",COMPRIMIDO - GENÉRICO,Sim,1057306390018,19/11/2020,Dispensa de Licitação,01/12/2020,J,ACHE LABORATORIOS FARMACEUTICOS SA,60.659.463/0029-92,DMTOP COMERCIO DE MEDICAMENTOS E COSMETICOS LTDA,06.271.093/0087-45,MUNICIPIO DE MONTE BELO DO SUL,91.987.669/0001-74,MONTE BELO DO SUL,RS,"30,0000","0,1640","0,6063",02/2022,"0,6262"
BR0267688,"METILDOPA, DOSAGEM:500 MG",COMPRIMIDO,Não,1018103770011,19/03/2021,Pregão,17/11/2021,A,SANOFI MEDLEY FARMACEUTICA LTDA,10.588.595/0007-97,MEDCOM SAUDE DENTALMEDICA COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS E MATERIAIS HOSPITALARES LTDA,37.730.050/0001-34,FUNDO MUNICIPAL DE SAUDE DE VITORIA DO XINGU,11.190.812/0001-63,VITORIA DO XINGU,PA,"1250,0000","0,1800","0,0000",N/A,"0,8172"
BR0394650,"METOPROLOL, COMPOSIÇÃO:SAL TARTARATO, CONCENTRAÇÃO:100 MG",COMPRIMIDO - GENÉRICO,Sim,1181901670039,07/03/2021,Pregão,19/08/2021,A,MULTILAB INDUSTRIAL E COMERCIO DE PRODUTOS FARMAC LTDA,92.265.552/0001-40,SW COMÉRCIO DE MEDICAMENTOS LTDA,08.476.077/0001-44,MUNICIPIO DE IGREJINHA,88.379.763/0001-36,IGREJINHA,RS,"60000,0000","0,2000","0,7172",02/2022,"0,2956"
BR0394650,"METOPROLOL, COMPOSIÇÃO:SAL TARTARATO, CONCENTRAÇÃO:100 MG",COMPRIMIDO,Não, Não Informado,23/12/2020,Pregão,18/05/2021,A,ACHE LABORATORIOS FARMACEUTICOS SA ,60.659.463/0001-91,SULMEDIC COMERCIO DE MEDICAMENTOS LTDA. - EPP ,09.944.371/0001-04,MUNICIPIO DE IMBE,90.256.652/0001-84,IMBE,RS,"300000,0000","0,2057","0,0000",N/A,"0,2956"
BR0276656,"METOPROLOL, PRINCÍPIO ATIVO:SAL SUCCINATO, DOSAGEM:25 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA",COMPRIMIDO,Não,1161800770068,09/06/2021,Tomada de Preços,19/07/2021,A,ASTRAZENECA DO BRASIL LTDA.,60.318.797/0001-00,BIOHOSP PRODUTOS HOSPITALARES LTDA - EPP ,18.269.125/0001-87,MUNICIPIO DE DOURADOQUARA,18.158.261/0001-08,DOURADOQUARA,MG,"900,0000","0,2061","0,7950",02/2022,"0,3030"
BR0276656,"METOPROLOL, PRINCÍPIO ATIVO:SAL SUCCINATO, DOSAGEM:25 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA",COMPRIMIDO,Não,1161800770068,16/02/2021,Pregão,07/06/2021,A,ASTRAZENECA DO BRASIL LTDA.,60.318.797/0001-00,BIOHOSP PRODUTOS HOSPITALARES LTDA - EPP ,18.269.125/0001-87,MUNICIPIO DE DOURADOQUARA,18.158.261/0001-08,DOURADOQUARA,MG,"990,0000","0,2061","0,7950",02/2022,"0,3030"
BR0394650,"METOPROLOL, COMPOSIÇÃO:SAL TARTARATO, CONCENTRAÇÃO:100 MG",COMPRIMIDO - GENÉRICO,Sim,1057306390018,19/01/2021,Pregão,19/07/2021,A,ACHE LABORATORIOS FARMACEUTICOS SA,60.659.463/0029-92,SULMEDIC COMERCIO DE MEDICAMENTOS LTDA. - EPP ,09.944.371/0001-04,CONSORCIO INTERMUNICIPAL - CI - CENTRO SUL,07.926.117/0001-40,CAMAQUA,RS,"405500,0000","0,2065","0,7727",02/2022,"0,2956"
BR0394650,"METOPROLOL, COMPOSIÇÃO:SAL TARTARATO, CONCENTRAÇÃO:100 MG",COMPRIMIDO - GENÉRICO,Sim,1057306390018,07/05/2021,Pregão,19/08/2021,A,ACHE LABORATORIOS FARMACEUTICOS SA,60.659.463/0029-92,SULMEDIC COMERCIO DE MEDICAMENTOS LTDA. - EPP ,09.944.371/0001-04,CONSORCIO INTERMUNICIPAL CATARINENSE-CIMCATARINA,12.075.748/0001-32,FLORIANOPOLIS,SC,"79215,0000","0,2081","0,7633",02/2022,"0,2956"
